구분,QA
모집/선발,"최종 학력 또는 전공과 관계없이 지원할 수 있나요?
KT 에이블스쿨은 정규 4년제 대학 졸업자 및 졸업예정자를 대상으로 하는 교육입니다. 전공에 관계 없이 명시된 지원 자격에 부합한다면 모두 지원 가능합니다. 다만, AI개발자 Track은 기본적인 코딩역량이 필요합니다."
모집/선발,"35세 이상은 지원할 수 없나요?
본 교육 과정은 34세 이하를 대상으로 하는 교육입니다. 단, 모집시점에 35세라도 해당연도 1월 1일 이후 생일자는 지원이 가능합니다. (예: 5기 지원 기준 1989년 1월 1일 이후 출생자)"
모집/선발,"미취업자의 기준이 뭔가요?
미취업자의 기준은 아래와 같습니다.
1) 기간의 정함이 있는 근로인 경우,
2) 고용보험에 미가입한 경우,
3) 고용보험에 가입되어 있더라도 15시간/주 미만 근로인 경우
단, 어떠한 경우에도 교육을 풀타임(09:00~18:00)으로 들을 수 있어야 교육 참여가 가능합니다."
모집/선발,"직장인도 지원할 수 있나요?
KT 에이블스쿨은 미취업자를 대상으로 하며, 교육 시작일 기준 재직자는 지원이 불가능합니다. 향후 취업여부를 확인할 예정입니다."
모집/선발,"아르바이트를 하고 있는데 지원할 수 있나요?
고용보험에 가입이 되어 있는 경우 15시간/주 미만 근로인 경우에만 미취업자로 간주하여 지원이 가능합니다.
고용보험에 가입되어 있지 않는 경우에는 특수형태근로자/고용보험미가입근로자로 분류되어 근로시간과 훈련시간이 중복되지 않는다면 훈련 수강은 가능하나, 훈련장려금이 지급되지 않습니다.
다만, 특수형태근로자의 경우 해촉증명서, 퇴사 사실확인증명원(사업주, 근로자 직인/서명포함)을 제출하는 경우 훈련장려금 지급이 가능하므로,
고용형태 관련 세부사항은 거주지 관할 고용센터(HRD-Net 확인) 또는 훈련 권역별 고용센터로 문의하시기 바랍니다.
※ 수도권: 성남고용센터
충남/충북: 대전고용센터
대구/경북: 대구고용센터
전남/전북: 광주고용센터
부산/경남: 부산고용센터
- 고용노동부 대표번호 1350, 거주지 근처 지도검색, HRD-Net 메인 하단 지역별 기관검색에서 확인 가능"
모집/선발,"사업자도 지원할 수 있나요?
사업자는 자영업자로 분류됩니다. 자영업자의 경우 관할 고용센터에서 국민내일배움카드 발급 여부를 검토하며, 카드가 발급되어 교육을 수강하여도 훈련장려금은 지급되지 않습니다. 다만, 고용보험을 임의가입한 자영업자의 경우 훈련장려금이 지급됩니다."
모집/선발,"프리랜서도 지원할 수 있나요?
고용보험에 가입하지 않은 경우 미취업자로 보지만, 프리랜서 계약의 경우 개인별 상황이 다를 수 있어서 관할 고용센터에 문의하여 확인하시기 바랍니다.
※ 관할 고용센터 :
수도권: 성남고용센터
충남/충북: 대전고용센터
대구/경북: 대구고용센터
전남/전북: 광주고용센터
부산/경남: 부산고용센터
- 고용노동부 대표번호 1350, 거주지 근처 지도검색, HRD-Net 메인 하단 지역별 기관검색에서 확인 가능"
모집/선발,"현재 군 복무중인 상태인데, 지원이 가능한가요?
현재 군 복무중인 상태여도 지원 가능합니다. 다만, 교육 시작 전일까지 병역의무를 마쳐야 교육 수강이 가능합니다."
모집/선발,"퇴사 후 실업급여 수령 중인데, 지원할 수 있나요?
퇴사 후 고용보험 상실이 완료되어 실업급여를 수급 중인 경우, 훈련 수강에는 문제가 없습니다. 다만, 실업급여와 훈련장려금은 중복 수급이 불가하여 실업급여 지급이 종료된 후 훈련장려금 지급이 개시됩니다."
모집/선발,"다른 K-DT 과정을 들었는데 지원할 수 있나요?
K-DT 교육과정은 최초 1회에 한해서만 무료 수강이 가능하며, KT 에이블스쿨은 본인 부담금이 발생하는 경우 지원이 어렵습니다. K-DT 과정마다 차이가 있을 수 있으니 개인별 정확한 수강 가능 여부는 관할 고용센터에 확인 부탁드립니다. 관할 고용센터 정보는 고용노동부 대표번호 1350 또는 거주지 근처 지도검색, HRD-Net에서 확인 가능합니다."
소개,"전국 어디서나 비대면 플랫폼 교육. 전국 어디서나 접속 가능한 교육∙실습 플랫폼을 기반으로 동일한 품질의 교육을 제공합니다. 교육기간 동안 노트북 제공합니다. 현직 AI/DX 전문가의 일∙학습 방법 코칭. KT AI/DX 분야 현직 전문가의 코칭을 통해 실무에서의 일하는 방식을 배울 수 있습니다. 실전 프로젝트와
문제해결력 중심 교육 과정. 과제 발굴부터 서비스∙제안서 구현까지 직접 수행하며 문제 해결능력을 향상시킬 수 있습니다. 기술+컨설팅 모두,
DX 컨설턴트 트랙. 기술 이해를 바탕으로 컨설팅하는 DX 컨설턴트로 성장할 수 있습니다."
소개,"AI/빅데이터 분야 자격증 취득 지원. 기업 실무에 필요한 AI 역량을 인증하는 AICE 자격증도 취득할 수 있습니다. 수료생 대상 기업 채용 연계​. 수료생은 KT그룹, 협력사 뿐만 아니라 다양한 기업과의 채용연계 기회가 있습니다."
소개,"에이블스쿨은 기업 실무형 AI/DX 인재를 양성하는 교육 프로그램 입니다. AIVLE School(에이블스쿨)은 KT의 ‘AI 인재 양성 경험과 노하우’를 내부에서 외부로 확장하여, 고용노동부 K-Digital Training과 함께 대한민국 청년들을 ‘기업 실무형 AI/DX인재’로 양성하고, 일자리 창출에 기여하는 교육 프로그램 입니다. KT 직원이 전담하여
‘산업 지식 + AI/DX 기술 + 창의성’을
갖출 수 있도록 강의/코칭 합니다."
소개,참여자를 부르는 애칭이 있어?   AIVLE School에 참여하는 모든 사람을 ‘AIVLER’ (에이블러)라고 부릅니다.
